frame_time_s,rms,spectral_centroid_hz,zcr,f0_hz
11.7004,0.20072,1402.93,0.0517578,235.11
11.7933,0.184095,1244.97,0.0307617,247.655
11.8861,0.141112,1342.54,0.0292969,250.533
11.979,0.179542,2360.49,0.133789,
12.0719,0.150883,1815.84,0.0766602,56.7752
12.1647,0.131278,1586.58,0.0917969,69.8985
12.2576,0.125253,1207.45,0.0717773,69.8985
12.3504,0.147014,1084.98,0.0610352,69.8985
12.4433,0.150742,3024.95,0.229004,
12.5362,0.130366,1992.75,0.0898438,70.3034
12.629,0.123713,1055.71,0.0595703,70.3034
12.7219,0.102583,1094.61,0.0595703,131.191
12.8147,0.185334,1908.98,0.0649414,138.191
12.9076,0.182421,2514.42,0.0668945,88.0666
13.0005,0.109392,1354.63,0.0292969,88.5768
13.0933,0.0974973,843.835,0.03125,138.191
13.1862,0.191384,594.475,0.0258789,131.951
13.279,0.162762,649.465,0.0253906,65.9754
13.3719,0.158026,645.372,0.0263672,65.9754
13.4648,0.163732,673.632,0.0439453,66.3576
13.5576,0.147871,650.218,0.0419922,65.9754
13.6505,0.163192,593.018,0.0336914,65.9754
13.7433,0.166279,2711.95,0.15918,65.5954
13.8362,0.160031,1414.34,0.0439453,65.5954
13.9291,0.141425,638.096,0.0263672,65.9754
14.0219,0.192381,1234.92,0.043457,51.4651
14.1148,0.229458,1123.33,0.0366211,102.93
14.2076,0.192492,1142.73,0.0424805,196.564
14.3005,0.17547,893.906,0.0322266,205.86
14.3934,0.135058,1196.1,0.0478516,202.324
14.4862,0.143963,833.408,0.0380859,208.252
14.5791,0.127723,733.072,0.0356445,204.675
14.6719,0.137165,718.539,0.0361328,85.5595
14.7648,0.174244,2316.59,0.0839844,73.6284
14.8577,0.108104,1526.33,0.0507812,69.4959
14.9505,0.0936998,1130.57,0.0395508,51.1687
15.0434,0.0782015,831.704,0.0302734,131.191
15.1362,0.187585,1551.49,0.0385742,250.533
15.2291,0.184834,2306.92,0.0341797,176.133
15.322,0.106264,1232.56,0.0185547,179.212
15.4148,0.111191,1677.39,0.0454102,86.5537
15.5077,0.0951599,2258.19,0.121582,203.496
15.6006,0.105289,1749.44,0.0883789,93.3033
15.6934,0.135242,2415.99,0.118652,120.303
15.7863,0.118069,1514.89,0.0551758,138.191
15.8791,0.145269,2306.56,0.141113,
15.972,0.103985,1868.94,0.0874023,
16.0649,0.150882,2430.38,0.141113,
16.1577,0.0991363,2116.17,0.116699,
16.2506,0.0697859,1635.05,0.0864258,
16.3434,0.152572,1076.74,0.0429688,
16.4363,0.0772711,1026.96,0.0537109,
16.5292,0.046657,855.673,0.0405273,
16.622,0.140536,2824.67,0.106445,
16.7149,0.0805227,2208.82,0.114746,
16.8077,0.0866238,699.491,0.0273438,
16.9006,0.12815,3270.79,0.115234,225.793
16.9935,0.153948,2146.89,0.140625,236.472
17.0863,0.121599,4106.86,0.324707,232.409
17.1792,0.104052,2799.52,0.160645,232.409
17.272,0.178286,1724.91,0.0668945,233.755
17.3649,0.256368,1346.72,0.0366211,213.12
17.4578,0.200064,1759.55,0.0605469,207.053
17.5506,0.262676,1331.32,0.0395508,197.703
17.6435,0.171291,1405.11,0.0585938,190.968
17.7363,0.185456,1302,0.0400391,205.86
17.8292,0.268395,1567.35,0.0366211,195.432
17.9221,0.144539,2370.01,0.0791016,184.463
18.0149,0.1849,1819.26,0.074707,196.564
18.1078,0.261472,1411.89,0.0488281,196.564
18.2006,0.252168,1293.6,0.0551758,200
18.2935,0.211173,1762.44,0.0751953,233.755
18.3864,0.199869,1401,0.0595703,231.071
18.4792,0.245912,1112.63,0.0371094,208.252
18.5721,0.262329,911.085,0.0356445,194.306
18.6649,0.192981,1532.7,0.0458984,192.075
18.7578,0.165238,1165.48,0.0366211,179.212
18.8507,0.0903381,925.114,0.0410156,215.596
18.9435,0.0835648,903.022,0.0483398,352.266
19.0364,0.0860956,759.647,0.0375977,400
19.1292,0.0673945,796.651,0.0375977,197.703
19.2221,0.104452,707.939,0.0366211,381.937
19.315,0.0601809,751.918,0.0405273,384.149
19.4078,0.045048,848.38,0.0375977,390.864
19.5007,0.0730823,4277.94,0.315918,356.359
19.5935,0.133267,2042.35,0.160645,
19.6864,0.216879,1687.82,0.0512695,193.187
19.7793,0.265385,1559.39,0.0195312,208.252
19.8721,0.22618,1660.31,0.0507812,207.053
19.965,0.246911,1358.89,0.0380859,198.848
20.0579,0.264336,1664.57,0.0361328,207.053
20.1507,0.264907,1432.03,0.0341797,204.675
20.2436,0.231495,1596.26,0.0341797,195.432
20.3364,0.237066,1285.67,0.0302734,195.432
20.4293,0.17631,2592.24,0.0839844,197.703
20.5222,0.199413,1371.55,0.0395508,196.564
20.615,0.269366,1152.47,0.0356445,197.703
20.7079,0.236698,931.35,0.0361328,195.432
20.8007,0.23074,1013.43,0.0258789,214.355
20.8936,0.248976,1029.43,0.0234375,229.74
20.9865,0.140813,2874.72,0.105957,215.596
21.0793,0.14321,1760.62,0.0566406,205.86
21.1722,0.200049,1613.44,0.0288086,138.992
21.265,0.160155,2010.84,0.0859375,69.4959
21.3579,0.17024,1820.75,0.074707,66.3576
21.4508,0.160982,1581.68,0.0449219,129.684
21.5436,0.153174,1076.89,0.0288086,53.28
21.6365,0.131436,847.566,0.0263672,65.5954
21.7293,0.123781,3594.75,0.316406,122.405
21.8222,0.104844,2509.78,0.0805664,128.937
21.9151,0.0964951,1299.93,0.0288086,87.0551
22.0079,0.10752,765.546,0.0253906,131.191
22.1008,0.105682,2875.1,0.0957031,87.0551
22.1936,0.129538,3584.34,0.137207,167.211
22.2865,0.069461,2036.62,0.0551758,173.107
22.3794,0.0663265,1202.04,0.0361328,130.435
22.4722,0.22068,1167.4,0.027832,189.868
22.5651,0.0431297,1289.78,0.0307617,204.675
22.6579,0.0461383,1107.71,0.0454102,223.199
22.7508,0.252864,2863.46,0.0668945,201.159
22.8437,0.152237,2121.38,0.0283203,190.968
22.9365,0.0583585,1441.65,0.0317383,91.7004
23.0294,0.11503,3587.19,0.239746,190.968
23.1222,0.0567028,3218.85,0.212891,71.1203
23.2151,0.0395937,1778.9,0.0405273,132.715
23.308,0.0496395,3440.22,0.121094,131.191
23.4008,0.0396943,4162.58,0.286133,88.5768
23.4937,0.0362822,4188.13,0.208496,87.0551
23.5865,0.138795,1951.23,0.117188,
23.6794,0.0655605,2987.22,0.158203,
23.7723,0.026366,2067.7,0.0693359,51.7632
23.8651,0.0250416,1345.56,0.0366211,66.3576
23.958,0.0324826,1283.28,0.0239258,87.5594
24.0508,0.10809,3644.34,0.323242,239.219
24.1437,0.061212,3524.38,0.186035,86.5537
24.2366,0.0346865,1981.09,0.0336914,87.5594
24.3294,0.0296699,1164.02,0.0297852,88.0666
24.4223,0.0765688,2722.03,0.0795898,87.5594
24.5152,0.18783,3275.95,0.0981445,173.107
24.608,0.0770419,2482.67,0.0649414,176.133
24.7009,0.0346512,1509.58,0.0444336,86.5537
24.7937,0.253515,910.832,0.0195312,188.775
24.8866,0.0612041,1065.06,0.0273438,194.306
24.9795,0.0447618,1393.38,0.0532227,88.5768
25.0723,0.277185,2628.8,0.0698242,196.564
25.1652,0.145543,2199.17,0.0283203,194.306
25.258,0.0433481,1680.07,0.0229492,188.775
25.3509,0.118999,3175.2,0.205566,183.401
